NO,Original ASF,Rounding ASF,Payment Method_encoded,Channel_encoded,Order ID_encoded,SLS Tracking Number_encoded,Shopee Order SN_encoded,Sort Code Name_encoded,SOC Received time_encoded,OnHoldReason_encoded,Status_encoded,Order Account_encoded,Current Station_encoded,Pickup Station_encoded,Destination Station_encoded,Next Station_encoded
915.0,16200.0,16200.0,1,0,347,353,606,172,893,0,2,2,2,52,86,7
916.0,26400.0,26400.0,1,0,393,12,662,151,779,0,2,0,2,52,87,7
917.0,18300.0,18300.0,1,0,395,775,789,234,748,0,2,2,2,52,122,7
918.0,17300.0,17300.0,0,0,399,732,788,264,872,0,2,0,2,52,110,35
919.0,39600.0,39600.0,0,0,435,373,537,17,837,0,3,0,2,52,12,16
920.0,18300.0,18300.0,0,0,455,580,617,294,876,0,2,0,2,52,28,7
921.0,25800.0,25800.0,1,0,460,665,591,197,858,0,2,0,2,52,116,8
922.0,15200.0,15200.0,1,0,485,469,827,39,936,0,2,2,2,52,47,37
923.0,12100.0,12100.0,0,0,492,846,704,269,846,0,2,2,2,52,107,26
924.0,18300.0,18300.0,1,0,508,574,672,177,898,0,2,2,2,52,90,7
925.0,16200.0,16200.0,1,0,509,457,629,194,840,0,2,2,2,52,100,7
926.0,11100.0,11100.0,0,0,517,947,752,38,751,0,3,2,2,52,154,40
927.0,18300.0,18300.0,1,0,525,162,518,169,890,0,0,2,2,52,8,2
928.0,18300.0,18300.0,0,0,532,738,784,213,889,0,0,0,2,52,108,2
929.0,9100.0,9100.0,1,0,542,805,515,71,857,0,3,2,2,52,118,30
930.0,18300.0,18300.0,0,0,551,509,505,29,864,0,2,2,2,52,18,10
931.0,24400.0,24400.0,0,0,562,940,540,222,754,0,2,0,2,52,15,35
932.0,16200.0,16200.0,0,0,563,654,563,128,843,0,0,0,2,52,152,38
933.0,15200.0,15200.0,1,0,566,659,592,117,856,0,2,2,2,52,47,37
934.0,31500.0,31500.0,0,0,580,47,485,171,751,0,2,0,2,52,60,16
935.0,17300.0,17300.0,0,0,584,383,614,181,887,0,2,0,2,52,95,35
936.0,18300.0,18300.0,1,0,611,410,108,245,885,0,2,2,2,52,132,7
937.0,20000.0,20000.0,1,0,615,57,888,257,900,0,2,1,2,52,142,8
938.0,40700.0,40700.0,0,0,625,666,659,41,888,0,3,0,2,52,31,16
939.0,32500.0,32500.0,1,0,668,446,560,262,861,0,2,0,2,52,99,16
940.0,19800.0,19800.0,1,0,689,948,575,179,935,0,2,0,2,52,92,35
941.0,41600.0,41600.0,0,0,756,272,725,226,860,0,2,2,2,52,12,16
942.0,12100.0,12100.0,0,0,810,249,620,162,848,0,2,2,2,52,89,33
943.0,24400.0,24400.0,0,0,816,74,660,25,869,0,2,0,2,52,14,35
944.0,20300.0,20300.0,0,0,835,891,785,165,902,0,2,0,2,52,13,33
945.0,28400.0,28400.0,1,0,843,54,553,10,892,0,2,0,2,52,57,35
946.0,18300.0,18300.0,1,0,864,436,521,53,834,0,2,0,2,52,106,7
947.0,25400.0,25400.0,0,0,876,99,531,212,866,0,2,0,2,52,78,8
948.0,11100.0,11100.0,0,0,893,342,502,73,891,0,2,2,2,52,64,20
949.0,22800.0,22800.0,0,0,919,82,772,132,879,0,2,0,2,52,65,37
950.0,9100.0,9100.0,1,0,973,725,550,87,816,0,3,2,2,52,39,12
951.0,24400.0,24400.0,0,0,985,558,654,164,863,0,2,0,2,52,81,35
952.0,25800.0,25800.0,0,0,994,759,477,90,762,0,2,0,2,52,40,8
953.0,18300.0,18300.0,0,0,259,794,811,234,838,0,2,2,2,52,122,7
954.0,18300.0,18300.0,1,0,270,510,653,28,943,0,2,2,2,52,17,10
955.0,14200.0,14200.0,0,0,616,390,163,229,214,0,0,0,2,90,120,32
956.0,22400.0,22400.0,0,0,362,103,484,86,186,0,0,2,2,10,38,9
957.0,18300.0,18300.0,0,0,629,765,796,56,3,0,1,2,2,70,66,7
958.0,18300.0,18300.0,1,0,33,243,663,298,739,0,2,0,1,74,157,29
959.0,22300.0,22300.0,1,0,700,567,584,224,738,0,2,0,1,74,38,29
960.0,36600.0,36600.0,1,0,652,94,829,235,230,0,1,0,1,56,112,29
961.0,29400.0,29400.0,0,0,873,492,800,71,248,0,3,0,2,56,118,30
962.0,14700.0,14700.0,1,0,351,889,879,229,901,0,4,0,1,123,120,29
963.0,40600.0,40600.0,1,0,100,291,167,61,232,0,2,2,2,78,30,9
964.0,20300.0,20300.0,0,0,246,51,168,157,41,0,3,0,2,112,70,21
965.0,20300.0,20300.0,0,0,344,858,51,249,82,0,2,0,2,112,136,34
966.0,20300.0,20300.0,0,0,801,404,147,84,695,0,2,0,0,112,37,29
967.0,22300.0,22300.0,0,0,910,573,77,74,309,0,0,2,2,120,79,22
968.0,12500.0,12500.0,1,0,161,710,544,161,513,0,2,1,2,61,61,19
969.0,51800.0,51800.0,0,0,908,254,304,253,796,0,2,2,2,83,140,35
970.0,15200.0,15200.0,1,0,943,229,644,58,827,0,2,2,2,83,25,7
971.0,51800.0,51800.0,1,0,519,421,806,219,797,0,2,2,2,83,113,35
972.0,17300.0,17300.0,1,0,928,130,288,56,828,0,2,2,2,83,66,7
973.0,22300.0,22300.0,1,0,940,6,883,157,392,0,4,0,2,125,70,21
974.0,22300.0,22300.0,0,0,912,843,276,174,89,0,3,0,2,55,42,13
975.0,22300.0,22300.0,1,0,891,751,890,291,222,0,4,0,2,121,64,20
976.0,14700.0,14700.0,0,0,831,215,124,14,449,0,0,0,2,72,10,3
977.0,8100.0,8100.0,1,0,387,52,33,14,690,0,0,0,2,54,10,3
978.0,16200.0,16200.0,0,0,840,669,534,287,871,0,1,2,4,18,16,29
979.0,73500.0,73500.0,1,0,330,797,405,47,32,0,2,0,1,89,10,29
980.0,14700.0,14700.0,0,0,597,10,694,189,389,0,2,0,2,104,70,21
981.0,88200.0,88200.0,1,0,784,824,92,87,31,0,2,0,1,89,39,29
982.0,22300.0,22300.0,0,0,41,799,445,270,197,0,1,0,2,87,149,36
983.0,14700.0,14700.0,1,0,921,568,762,232,227,0,0,0,2,108,119,31
984.0,12100.0,12100.0,1,0,197,317,296,228,767,0,2,0,4,18,118,29
985.0,14700.0,14700.0,1,0,672,443,758,120,757,0,4,0,2,18,9,13
986.0,14700.0,14700.0,1,0,793,743,286,51,873,0,1,0,4,18,16,29
987.0,11600.0,11600.0,0,0,934,391,738,266,241,0,2,0,2,94,26,10
988.0,22400.0,22400.0,1,0,407,808,519,95,154,0,2,2,2,72,64,20
989.0,21300.0,21300.0,0,0,495,880,440,160,158,0,4,2,2,72,48,15
990.0,48900.0,48900.0,1,0,799,789,158,129,774,0,2,0,2,93,0,16
991.0,11200.0,11200.0,0,0,316,376,905,20,875,0,2,2,2,94,4,35
992.0,10500.0,10500.0,1,0,883,976,571,270,73,0,1,1,2,30,149,36
993.0,14700.0,14700.0,0,0,159,294,894,47,419,0,0,0,2,72,10,3
994.0,15200.0,15200.0,1,0,497,354,382,110,687,0,2,2,2,116,30,9
995.0,14700.0,14700.0,1,0,961,40,378,275,19,0,1,0,1,66,153,29
996.0,18300.0,18300.0,1,0,572,277,559,76,134,0,1,0,2,30,157,42
997.0,22300.0,22300.0,0,0,596,975,604,144,627,0,4,0,2,74,70,21
998.0,22300.0,22300.0,0,0,782,283,616,70,628,0,4,0,2,74,30,9
999.0,22300.0,22300.0,0,0,771,59,193,7,693,0,2,2,0,40,7,29
1000.0,17200.0,17200.0,1,0,526,89,842,190,176,0,1,2,1,10,98,29
,,,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
