NO,Original ASF,Rounding ASF,Payment Method_encoded,Channel_encoded,Order ID_encoded,SLS Tracking Number_encoded,Shopee Order SN_encoded,Sort Code Name_encoded,SOC Received time_encoded,OnHoldReason_encoded,Status_encoded,Order Account_encoded,Current Station_encoded,Pickup Station_encoded,Destination Station_encoded,Next Station_encoded
683.0,14700.0,14700.0,1,0,746,895,195,159,183,0,3,0,2,74,80,23
684.0,22300.0,22300.0,1,0,49,33,194,144,188,0,4,0,2,74,70,21
685.0,21300.0,21300.0,0,0,199,197,836,61,969,0,0,2,1,86,30,29
686.0,18300.0,18300.0,1,0,479,164,191,236,200,0,4,0,2,74,112,28
687.0,16200.0,16200.0,1,0,93,228,190,288,305,0,4,0,2,74,154,40
688.0,14700.0,14700.0,1,0,618,955,887,190,966,0,4,0,1,65,98,29
689.0,22300.0,22300.0,1,0,748,996,872,73,573,0,0,0,2,65,64,20
690.0,17200.0,17200.0,1,0,288,220,914,159,500,0,4,2,2,109,80,23
691.0,22300.0,22300.0,0,0,520,582,184,216,733,0,2,0,1,74,111,29
692.0,22300.0,22300.0,1,0,781,71,181,216,364,0,3,0,2,74,111,27
693.0,19300.0,19300.0,0,0,540,845,179,198,109,0,2,2,2,101,136,34
694.0,22300.0,22300.0,1,0,406,764,174,300,187,0,4,0,2,74,61,26
695.0,22300.0,22300.0,0,0,40,471,172,51,194,0,3,0,2,74,16,5
696.0,21300.0,21300.0,0,0,16,628,487,70,138,0,2,2,2,124,30,9
697.0,18300.0,18300.0,0,0,119,832,169,108,196,0,4,0,2,74,48,15
698.0,14700.0,14700.0,0,0,807,817,826,190,104,0,0,0,2,57,98,25
699.0,17300.0,17300.0,1,0,302,41,251,275,388,0,3,2,2,124,153,39
700.0,63900.0,63900.0,1,0,284,38,9,144,11,0,2,2,2,89,70,21
701.0,18300.0,18300.0,0,0,965,537,164,298,289,0,4,0,2,74,157,42
702.0,16200.0,16200.0,1,0,992,959,161,276,189,0,4,0,2,74,112,28
703.0,22300.0,22300.0,1,0,713,906,874,97,726,0,2,0,1,95,42,29
704.0,14700.0,14700.0,1,0,869,603,127,275,162,0,4,0,2,74,153,39
705.0,22300.0,22300.0,1,0,924,686,673,296,44,0,1,0,1,24,30,29
706.0,14700.0,14700.0,1,0,212,886,155,229,481,0,4,0,2,74,120,32
707.0,14700.0,14700.0,1,0,633,246,222,232,66,0,4,0,2,123,119,31
708.0,22300.0,22300.0,0,0,421,161,152,295,373,0,3,0,2,74,96,24
709.0,20300.0,20300.0,1,0,905,314,443,124,656,0,2,2,0,5,107,29
710.0,20300.0,20300.0,1,0,906,50,607,185,663,0,2,2,0,5,96,29
711.0,18300.0,18300.0,0,0,913,478,151,2,195,0,4,0,2,74,112,28
712.0,14700.0,14700.0,1,0,184,270,148,190,184,0,3,0,2,74,98,25
713.0,18300.0,18300.0,0,0,473,589,149,235,172,0,4,0,2,74,112,28
714.0,34400.0,34400.0,1,0,663,735,625,190,440,0,0,2,2,28,98,25
715.0,14700.0,14700.0,1,0,414,983,145,275,385,0,4,0,2,74,153,39
716.0,17200.0,17200.0,1,0,440,971,632,190,443,0,0,2,2,28,98,25
717.0,64800.0,64800.0,0,0,341,762,305,190,697,0,1,2,4,67,98,29
718.0,13000.0,13000.0,0,0,142,863,683,184,488,0,2,1,2,124,55,18
719.0,22300.0,22300.0,0,0,128,150,142,248,951,0,4,0,1,74,52,29
720.0,22300.0,22300.0,0,0,166,388,141,189,312,0,4,0,2,74,70,21
721.0,16200.0,16200.0,1,0,917,337,137,13,914,0,4,0,1,74,2,29
722.0,14700.0,14700.0,1,0,976,861,138,87,170,0,1,0,1,74,39,29
723.0,14700.0,14700.0,0,0,88,663,140,285,206,0,4,0,2,74,80,23
724.0,22300.0,22300.0,0,0,324,740,139,9,929,0,4,0,1,74,9,29
725.0,14700.0,14700.0,1,0,918,790,136,232,942,0,4,0,1,74,119,29
726.0,22300.0,22300.0,0,0,346,917,135,215,367,0,4,0,2,74,7,1
727.0,14700.0,14700.0,1,0,501,366,109,230,199,0,0,0,2,48,119,31
728.0,14700.0,14700.0,1,0,89,96,133,71,925,0,2,0,1,74,118,29
729.0,14700.0,14700.0,1,0,849,296,50,285,963,0,4,0,1,96,80,29
730.0,14700.0,14700.0,1,0,938,394,7,229,571,0,4,0,2,96,120,32
731.0,22300.0,22300.0,1,0,999,210,476,283,366,0,3,0,1,53,96,29
732.0,22300.0,22300.0,1,0,165,22,379,157,2,0,4,0,2,65,70,21
733.0,22400.0,22400.0,1,0,398,367,724,214,130,0,3,2,2,36,109,5
734.0,17200.0,17200.0,1,0,731,297,911,190,304,0,4,2,2,27,98,25
735.0,17300.0,17300.0,1,0,694,837,225,14,357,0,0,2,2,124,10,3
736.0,14700.0,14700.0,1,0,559,56,718,275,494,0,4,0,2,28,153,39
737.0,14700.0,14700.0,1,0,790,680,386,14,446,0,4,0,2,28,10,3
738.0,22300.0,22300.0,0,0,136,411,154,134,483,0,3,0,2,63,111,27
739.0,22400.0,22400.0,0,0,481,341,582,239,851,0,2,2,1,63,111,29
740.0,18300.0,18300.0,0,0,914,289,355,278,467,0,4,0,2,120,112,28
741.0,17300.0,17300.0,0,0,76,481,668,14,708,0,1,2,1,95,10,29
742.0,14700.0,14700.0,1,0,220,538,235,47,465,0,3,0,2,115,10,3
743.0,69100.0,69100.0,0,0,174,798,493,243,406,0,2,0,2,94,63,16
744.0,18300.0,18300.0,0,0,299,44,713,107,471,0,4,0,2,87,48,15
745.0,62000.0,62000.0,0,0,258,986,357,99,462,0,2,0,2,94,43,16
746.0,13900.0,13900.0,1,0,250,402,343,119,525,0,2,0,2,70,58,7
747.0,31200.0,31200.0,0,0,885,857,449,88,798,0,2,0,2,70,3,35
748.0,18300.0,18300.0,1,0,710,608,585,198,229,0,2,0,2,66,136,34
749.0,50800.0,50800.0,0,0,350,539,102,233,463,0,2,2,2,94,84,16
750.0,32500.0,32500.0,0,0,486,695,129,170,459,0,2,2,2,94,83,16
751.0,22400.0,22400.0,0,0,622,55,597,157,45,0,1,2,1,24,70,29
752.0,16200.0,16200.0,1,0,87,951,508,254,72,0,3,0,2,4,112,28
753.0,22300.0,22300.0,1,0,131,518,80,216,397,0,2,0,2,39,111,27
754.0,18300.0,18300.0,0,0,306,549,36,298,391,0,3,0,2,39,157,42
755.0,22300.0,22300.0,0,0,582,894,627,27,676,0,4,0,2,61,16,5
756.0,22300.0,22300.0,0,0,536,432,467,284,451,0,0,2,2,53,79,22
757.0,19300.0,19300.0,1,0,437,635,923,256,741,0,2,2,1,58,42,29
758.0,22300.0,22300.0,1,0,442,980,782,291,1,0,4,0,4,30,64,29
759.0,17300.0,17300.0,1,0,598,168,475,87,461,0,0,2,2,63,39,12
760.0,16200.0,16200.0,0,0,777,60,353,24,100,0,3,0,2,78,155,41
761.0,20300.0,20300.0,1,0,951,985,935,95,703,0,4,2,1,31,64,29
762.0,20300.0,20300.0,1,0,147,449,812,111,85,0,0,0,2,75,30,9
763.0,45700.0,45700.0,0,0,587,515,841,150,538,0,2,0,2,52,75,16
764.0,44600.0,44600.0,1,0,922,466,746,107,135,0,2,0,2,30,64,20
765.0,18300.0,18300.0,0,0,190,305,831,108,509,0,4,0,1,125,48,29
766.0,21300.0,21300.0,0,0,343,865,628,238,213,0,1,2,2,117,19,6
767.0,36600.0,36600.0,0,0,854,420,273,184,57,0,1,0,1,88,55,29
768.0,17300.0,17300.0,1,0,358,27,667,275,397,0,0,2,2,39,153,39
769.0,21300.0,21300.0,0,0,779,597,698,61,397,0,2,2,2,39,30,9
770.0,162000.0,162000.0,1,0,198,423,55,52,822,0,3,0,2,70,23,29
771.0,31500.0,31500.0,1,0,623,900,125,147,267,0,2,0,2,70,74,16
772.0,19800.0,19800.0,1,0,226,937,203,279,814,0,2,0,2,70,29,35
773.0,18300.0,18300.0,0,0,170,257,21,298,546,0,4,0,2,87,157,42
774.0,14700.0,14700.0,1,0,267,153,16,77,552,0,4,0,2,87,120,32
775.0,14700.0,14700.0,1,0,325,284,326,190,545,0,4,0,2,87,98,25
776.0,22300.0,22300.0,0,0,180,525,434,59,510,0,4,0,2,127,149,36
777.0,22300.0,22300.0,0,0,637,225,767,142,511,0,3,0,2,127,149,36
778.0,20300.0,20300.0,0,0,311,281,803,91,249,0,1,0,0,3,45,29
779.0,23000.0,23000.0,0,0,763,831,768,79,533,0,3,2,2,39,107,26
780.0,19200.0,19200.0,1,0,887,718,473,297,806,0,2,2,4,51,70,29
781.0,14700.0,14700.0,0,0,722,973,932,190,101,0,4,0,2,24,98,25
782.0,22300.0,22300.0,0,0,207,611,316,158,393,0,0,2,2,39,79,22
783.0,17300.0,17300.0,1,0,467,177,317,275,760,0,2,2,1,39,153,29
784.0,18300.0,18300.0,1,0,114,405,435,36,43,0,3,0,2,24,48,15
785.0,17300.0,17300.0,0,0,544,615,635,228,432,0,4,2,2,19,118,30
786.0,40700.0,40700.0,0,0,516,311,461,68,468,0,2,0,2,94,68,16
787.0,14700.0,14700.0,1,0,361,972,809,275,689,0,2,0,1,32,153,29
788.0,14700.0,14700.0,1,0,468,435,58,275,141,0,3,0,2,2,153,39
789.0,22300.0,22300.0,1,0,482,145,89,156,405,0,3,0,2,118,98,25
790.0,14700.0,14700.0,0,0,494,928,91,232,407,0,0,0,2,118,119,31
791.0,14700.0,14700.0,0,0,898,745,93,231,401,0,1,0,1,118,120,29
792.0,22300.0,22300.0,0,0,859,312,899,206,6,0,3,0,1,82,45,29
793.0,17300.0,17300.0,0,0,290,792,118,232,699,0,2,2,1,39,119,29
794.0,21300.0,21300.0,0,0,966,480,97,34,393,0,2,2,2,39,30,9
795.0,22400.0,22400.0,0,0,245,235,156,277,466,0,2,2,0,13,11,29
796.0,11500.0,11500.0,1,0,957,931,570,270,69,0,1,1,2,38,149,36
797.0,18300.0,18300.0,1,0,338,908,554,32,428,0,4,0,2,19,19,6
798.0,23400.0,23400.0,0,0,718,506,62,91,397,0,3,2,2,39,45,14
799.0,21300.0,21300.0,0,0,871,336,38,296,393,0,2,2,2,39,30,9
800.0,14700.0,14700.0,1,0,808,352,882,87,506,0,3,0,2,22,39,12
801.0,14700.0,14700.0,1,0,836,774,864,87,501,0,4,0,2,124,39,12
802.0,16200.0,16200.0,0,0,750,364,548,102,119,0,3,2,2,79,45,14
803.0,14000.0,14000.0,1,0,373,802,675,250,964,0,2,1,1,86,111,29
804.0,14000.0,14000.0,1,0,820,763,707,250,970,0,3,1,1,86,111,29
805.0,23400.0,23400.0,1,0,144,93,926,185,247,0,3,2,2,42,96,24
806.0,14700.0,14700.0,0,0,454,219,750,285,231,0,4,0,2,117,80,23
807.0,14700.0,14700.0,1,0,99,255,113,153,309,0,3,0,2,56,80,23
808.0,36600.0,36600.0,1,0,676,132,576,184,49,0,2,0,1,88,55,29
809.0,21300.0,21300.0,0,0,213,957,310,110,473,0,0,2,2,117,30,9
810.0,14700.0,14700.0,0,0,408,890,96,275,698,0,4,0,2,88,153,39
811.0,15200.0,15200.0,1,0,125,486,619,156,777,0,1,2,4,15,98,29
812.0,15200.0,15200.0,1,0,219,607,530,50,781,0,1,2,4,15,55,29
813.0,12100.0,12100.0,0,0,671,61,747,230,464,0,0,0,2,81,119,31
814.0,16200.0,16200.0,1,0,868,724,565,71,785,0,1,2,4,15,118,29
815.0,22300.0,22300.0,1,0,84,511,895,84,725,0,2,0,1,10,37,29
816.0,29400.0,29400.0,1,0,94,115,409,14,7,0,3,0,2,88,10,3
817.0,20300.0,20300.0,1,0,229,79,770,249,62,0,2,0,0,113,136,29
818.0,27400.0,27400.0,0,0,842,141,130,55,470,0,2,2,2,94,104,7
